Date	ActualValue	ForecastValue	PreviousValue
2021.03.01	98.994	104.053	102.809
2021.02.01	103.381	101.170	105.324
2021.01.04	104.969	94.238	98.338
2020.11.30	97.532	87.714	92.091
2020.10.29	91.454	75.048	85.530
2020.09.29	84.715	52.608	66.288
2020.09.01	66.281	49.796	39.902
2020.07.29	40.010	10.228	9.273
2020.06.29	9.273	35.572	15.851
2020.06.02	15.848	64.170	56.136
2020.05.01	56.161	71.624	73.674
2020.03.30	73.546	68.455	71.344
2020.03.02	70.888	65.487	67.930
2020.01.31	67.241	64.435	65.514
2020.01.03	64.994	64.201	64.662
2019.11.29	64.602	65.358	65.803
2019.10.29	65.919	66.489	65.681
2019.09.30	65.545	67.789	67.011
2019.08.30	67.306	67.201	66.506
2019.07.29	66.440	65.990	65.647
2019.07.01	65.409	64.482	66.045
2019.05.31	66.261	63.787	62.559
2019.05.01	62.341	66.012	65.340
2019.03.29	64.337	66.012	66.696
2019.03.01	66.766	63.971	64.468
2019.01.30	63.793	66.107	63.952
2019.01.04	63.728	66.676	66.709
2018.11.29	67.086	66.676	65.726
2018.10.29	65.269	67.709	66.101
2018.10.01	66.440	65.121	65.156
2018.08.30	64.768	65.121	65.374
2018.07.30	65.619	63.307	64.684
2018.06.29	64.526	62.528	62.941
2018.05.31	62.455	63.190	62.802
2018.05.01	62.914	64.738	63.781
2018.03.29	63.910	64.364	67.110
2018.03.01	67.478	64.250	61.692
2018.01.30	61.039	64.527	64.712
2018.01.04	65.139	64.371	64.887
2017.11.29	64.575	64.167	66.111
2017.10.30	66.232	65.145	67.232
2017.09.29	66.580	67.390	68.452
2017.08.30	68.689	66.429	65.318
2017.07.31	64.684	68.712	65.109
2017.06.29	65.202		65.051
2017.05.31	64.645		66.043
2017.05.04	66.837		67.936
2017.03.29	68.315		69.114
2017.03.01	69.928		68.266
2017.01.31	67.898		67.461
2017.01.04	67.505		67.371
2016.11.29	67.518		63.594
2016.10.31	62.932		60.984
2016.09.29	60.058		60.925
2016.08.30	60.912		64.152
2016.07.29	64.766		66.722
2016.06.29	67.000		66.205
2016.06.01	66.250		70.305
2016.04.29	71.360		73.871
2016.03.31	73.871		74.085
2016.02.29	74.581		71.335
2016.02.01	70.837		70.424
2016.01.04	70.410		69.867
2015.11.30	69.630		68.874
2015.10.29	68.874		70.664
2015.09.29	71.030		69.010
2015.09.01	68.764		66.582
2015.07.29	66.582		64.826
2015.06.29	64.434		67.580
2015.06.02	68.076		61.945
2015.05.01	61.341		61.523
2015.03.30	61.760		60.786
2015.03.02	60.707		60.275
2015.01.30	60.349		59.029
2015.01.02	58.956		59.426
2014.12.01	59.511		61.267
2014.10.29	61.234		64.212
2014.09.29	64.054		66.569
2014.09.01	66.100		67.196
2014.07.29	67.085		61.707
2014.06.30	61.707		62.918
2014.06.02	62.806		67.135
2014.05.01	66.563		70.309
2014.03.31	69.592		76.947
2014.03.03	76.753		71.638
2014.01.30	72.798		70.758
2014.01.03	70.758		67.701
2013.11.29	68.029		66.735
2013.10.29	66.891		62.226
2013.09.30	63.396		60.624
2013.08.30	60.914		57.667
2013.07.29	58.238		58.242
2013.07.01	58.071		53.710
2013.05.31	54.354		53.504
2013.04.30	53.674		51.653
2013.04.02	51.947		54.719
2013.03.01	54.187		55.632
2013.01.30	55.632		54.036
2013.01.04	54.036		53.000
2012.11.29	53.071		50.024
2012.10.29	50.024		47.665
2012.10.01	47.921		47.312
2012.08.30	47.556		44.192
2012.07.30	44.124		51.098
2012.07.03	50.544		51.823
2012.05.30	51.627		49.860
2012.05.02	51.067		49.000
2012.03.29	49.029		58.728
2012.02.29	57.899		52.939
2012.01.31	55.019		53.000
2012.01.04	52.628		52.700
2011.11.29	52.786		51.193
2011.10.31	51.193		52.400
2011.09.29	52.347		49.230
2011.08.30	49.644		48.000
2011.07.29	48.500		45.940
2011.06.29	46.418		45.166
2011.06.01	45.447		47.557
2011.05.04	47.145		46.967
2011.04.21	44.000		46.708
2011.03.29	46.708		41.000
2011.03.18	43.000		46.000
2011.03.01	46.152		41.000
2011.02.18	41.000		58.000
2011.02.01	43.000		48.000
2011.01.21	40.000		47.287
2011.01.04	47.287		45.000
2010.12.20	45.000		47.200
2010.11.29	47.300		47.000
2010.11.18	44.000		47.360
2010.10.29	47.360		44.000
2010.10.21	44.000		47.000
2010.09.29	47.000		47.000
2010.09.20	45.000		48.720
2010.08.31	48.300		47.640
2010.07.29	48.560		49.810
2010.06.29	49.460		49.900
2010.06.18	51.000		49.830
2010.06.02	49.830		48.900
2010.05.21	47.000		48.900
2010.05.04	49.000		47.000
2010.04.22	52.000		46.900
2010.03.29	46.900		48.000
2010.03.18	48.000		48.000
2010.03.01	48.000		49.000
2010.02.18	58.000		59.020
2010.02.01	60.000		60.520
2010.01.04	60.520		57.000
2009.11.30	57.720		56.000
2009.10.29	56.000		52.000
2009.09.29	53.000		50.000
2009.09.01	52.000		47.580
2009.07.29	47.580		43.000
2009.06.29	44.160		43.000
2009.06.02	43.000		39.000
2009.05.01	40.000		38.000
2009.03.30	38.000		31.000
2009.03.02	32.000		31.000
2009.01.30	31.000		27.000
2009.01.02	27.000		32.000
2008.12.01	31.000		33.000
2008.10.29	33.000		32.000
2008.09.29	32.000		33.000
2008.09.01	33.000		36.000
2008.07.29	35.000		42.000
2008.06.30	41.000		58.000
2008.06.02	58.000		64.000
2008.04.29	63.000		73.000
2008.04.02	72.000		74.000
2008.02.29	74.000		73.000
2008.01.30	72.000		83.000
2008.01.04	81.000		88.000
2007.11.29	89.000		102.000
2007.10.29	100.000		109.000
2007.09.28	108.000		111.000
